tags,texts
microsoft educational materials development flexible methodologies xna xna game studio aspnet parallel programming multicore teamwork visual studio visual studio,"The course library has been replenished with new courses and books:

Software Systems Development Technology
Basics of Computer Game Development in XNA Game Studio
Web Application Development in ASP.NET
Parallel Programming for Multi-core Processors
Team Development Using Visual Studio Team Foundation Server
Introduction to Microsoft Visual Studio Team System 2008
Agile Software Development Methodology

Descriptions and links below.

Software Systems Development Technology, A.V. Gavrilov

The course provides basic knowledge on the technology of software systems development. It examines Microsoft Solution Framework (MSF) models and disciplines in detail. The main focus is on utilizing the acquired theoretical knowledge in implementing a specific software project. The example of Visual Studio Team System (VSTS) demonstrates the use of a team development toolset. The acquired skills allow for the design, analysis, and implementation of application software based on modern industrial development methods.

 Course Program (245 KB) Course Structure (3.9 MB)
 Lecture 1 (6.1 MB) Lecture 2 (6.1 MB) Lecture 3 (4.2 MB) Lecture 4 (3.7 MB)
 Lecture 5 (2.6 MB) Lecture 6 (3.6 MB) Lecture 7 (1.7 MB) Lecture 8 (4.4 MB)
 Lecture 9 (2.7 MB) Lecture 10 (1.6 MB)

 

Basics of Computer Game Development in XNA Game Studio, Yu.V. Dashko, A.A. Zaika, IUBIP

The course covers the basic methods of computer game development in XNA Game Studio 2.0, documentation development, and implementation of independent game projects. It is intended for C# programmers (students of the ""Applied Informatics"" specialty). The course is implemented as part of the regional component of the curriculum for the specified specialty.

 Readme (578 bytes) Course Description (200 KB) Lectures (831 KB)
 Seminars (10 KB)
 Labs — Part 1 (3.5 MB) Labs — Part 2 (7.7 MB)
 Labs — Part 3 (5.5 MB) Labs — Part 4 (5.1 MB)

 

Web Application Development in ASP.NET, G. Magdanurov, Microsoft

The course is designed for developers who lack experience with ASP.NET. The programming language used is C#. To study the training, it is desirable to know the basics of HTML/JavaScript, have a basic understanding of web applications, and have experience writing programs in C-like languages.

 Part 1 (922 KB) Part 2 (1.2 MB)

 

Parallel Programming for Multi-core Processors, Yu. Serdyuk, A. Petrov

This course is focused on the study and practical application of modern high-level tools for parallel programming on multi-core processors, such as the Microsoft Parallel FX library and the MC# programming language. The use of such tools significantly increases programmer productivity from an industrial perspective, and from an educational perspective, enables university students to successfully study and master them starting from their second year.

 Lectures (835 KB) Seminars (507 KB)

 

Team Development Using Visual Studio Team Foundation Server, J.D. Meyer, Jason Taylor, Alex Macman, Prashant Bansod, Kevin Jones

The guide is dedicated to deploying Team Foundation Server and its effective use for source code management, build automation, and work item and process management. The goal of this guide is to provide resources, recommendations, and advice on creating an effective environment for team software development to all those involved in this activity.

 Book (4.1 MB)

Introduction to Microsoft Visual Studio Team System 2008, A. Fedorov

Visual Studio Team System 2008 continues the development of the product family for managing the entire application lifecycle and includes new and improved tools, processes, and guidance that help improve collaborative team work and make it more effective. The tools included with Visual Studio Team System 2008 enable better communication between team members and customers, foster effective collaboration, ensure the expected code quality using advanced quality control tools, and provide insight into project activities and priorities, allowing data-driven decision-making in real-time.

 Book (618 KB)

Agile Software Development Methodology, Microsoft

This guide is dedicated to the Microsoft Solutions Framework for Agile Software Development methodology by the Microsoft Corporation. This methodology describes the approach and organization of work in software product creation and, unlike the more extensive and abstract Microsoft Solutions Framework system, it is ready for immediate application. The guide is intended for project managers, developers, analysts, testers, architects, and possibly other members of the development team.

 Book (1.9 MB)"
HTC HTC Bravo HTC Legend HTC Salsa HTC Tide HTC Buzz HTC Photon HTC Trophy HTC Tera Android Windows Mobile,"Recently, at a presentation organized by HTC for T-Mobile representatives, there was a leak of information about HTC's plans for the next year.

So, the entire HTC product lineup will be divided into several categories:

Design / Lifestyle — smartphones targeting the youth market: HTC Legend, HTC Salsa.
Social — youth smartphones aimed at tight integration with social networks (Twitter, Facebook, Flickr): HTC Tide, HTC Buzz.
Performance — smartphones with thousands of horsepower under the hood: HTC Bravo.
Productivity — Windows Mobile smartphones aimed at the business segment: HTC Photon, HTC Trophy, HTC Tera (remake of the Touch Pro2).

According to Eldar Murtazin, this roadmap lacks a couple of key HTC devices, such as the HTC Espresso or the 10-inch HTC Halo Tablet running Android.

Let's move on to the description of the most anticipated smartphone on Habrahabr.

HTC Bravo — the company's first Android smartphone, which is based on a gigahertz Qualcomm Snapdragon QSD8250 processor, capable of recording HD video in 720p format, has 512 MB ROM and 256 MB RAM (according to rumors, the RAM size will be increased to 512 MB). It also comes with a 16 GB MicroSD memory card and a 1400 mAh battery. The display is an AMOLED 3.7"" capacitive touchscreen. The wait is almost over, the launch date is April 2010! A great contender for the XPeria X10.

HTC Legend — another Android device, boasting a metal frame and a thickness of just 11.4 mm. Its features are more modest compared to the Bravo: a 600 MHz Qualcomm MSM7227 processor, 3.2"" capacitive display, 512 MB ROM, 256 MB RAM. Judging by its shape, in March we can expect another sibling to the HTC Hero!

HTC Salsa — a gift for fans of Blackberry phones and Android simultaneously. Salsa is a curious-looking monoblock with a qwerty keyboard and a very tiny (by modern standards) 2.6"" resistive display. The heart of the smartphone is a 528 MHz Qualcomm MSM7225 processor. It also has the standard 512 MB RAM and 256 MB ROM. Release date — June 2010.

HTC Tide — not a branded laundry detergent for HTC, but a new Android smartphone designed for fans of social networks like Twitter, Facebook, Plurk, Flickr, etc. The phone's specs are similar to the HTC Salsa: 528 MHz Qualcomm MSM7225, 512 MB RAM, and 256 MB ROM. Display — 2.68"" QVGA with a resistive touchscreen. Release date — April 2010.

HTC Buzz — a new incarnation of the HTC Tattoo, but this time much prettier, very thin (11 mm), and also with a 3.2"" capacitive touchscreen display. Other specs: 528 MHz Qualcomm MSM7225, 512 MB RAM, and 256 MB ROM. Fans of showcasing their individuality through accessories will get a new toy in May 2010.

HTC Photon — a logical continuation of the HTC Diamond series, HTC Touch Diamond 2, but this time significantly improved, namely: a design similar to the HTC HD2 stands out. The device will also feature a 3.2"" capacitive HVGA display, 600 MHz Qualcomm MSM7227 processor, 512 MB RAM, 256 MB ROM, and it has an impressive thickness of just 10.9 mm. The wait is almost over — April 2010!

HTC Trophy — another attempt at the Blackberry market, but this time the smartphone will be running Windows Mobile 6.5. Also worth noting is the pleasant HTC HD2-style design, 3"" capacitive VGA display. Other specs are standard: 600 MHz Qualcomm MSM7227, 512 MB RAM, 256 MB ROM. It's worth noting that all HTC phones have slimmed down significantly: the HTC Trophy thickness is 11 mm. Premiere — May 2010.

HTC Tera — no more than a remake of the HTC Touch Pro 2, but this time smaller, thinner, and more stylish. 600 MHz Qualcomm MSM7227, 512 MB RAM, 256 MB ROM, also includes a 3.2"" WQVGA resistive display, a full qwerty keyboard, but most importantly — a thickness of 15 mm! Release date — April 2010.

It should be added that the HTC HD2 will be the flagship in the HTC product lineup throughout 2010, which means that purchasing it now won't lead to regret in three months :) HTC is slowly phasing out Windows Mobile phones in favor of the business segment, while all main niches are occupied by Android. Geeks have started saving up for the HTC Bravo, and so have I :)

HTC has done an enormous job and seems to have tried to outdo everyone: both Samsung with AMOLED displays, Blackberry with qwerty monoblocks, and Apple with gigahertz processors and support for OpenGL ES 2.0.

Source: xda-developers.com
Official information is always available via HTC Russia’s Twitter: twitter.com/HTC_Ru"
vimpelcom,"Far February 2007.

Seven long days spent on the streets of Barcelona without a single euro cent in the pocket. Life on La Rambla; African-American drug dealers; girls of frivolous behavior; locals who don't understand English; the most cultured police in the world, oranges on the trees... Hundreds of roads trodden - thousands of difficult paths revealed! But then - receiving press accreditation, entering inside, and plunging into the real turmoil of the global telecom world! All this is possible in only one place in the world: Spain, Barcelona, February, Mobile World Congress.

So, right now the most interesting event of the year for the entire mobile industry begins. Almost 100 thousand people gather in one place to showcase their best developments, set trends for the year ahead, and of course, delight us with new products and announcements. Well, since they are there, and we are here, there is no reason not to follow them for real:

Official event website: mobileworldcongress.com

Special project from the organizers mobileworldlive.com (it's worth registering there)
Brochure with complete information about the congress and event schedule: .PDF (6.8 Mb), no registration required

Live broadcasts on Engadget: engadget.com/tag/liveblog
Thematic publications on Gizmodo
Special section on Mobile-review + the first 4 articles (introduction, Samsung Wave, Bada, HTC Smart)
Broadcast on Content-review
MWC through the eyes of gamers

Twitter:

twitter.com/gsmworld - official Twitter feed + hashtags: #MWC, #MWC10, #MWC2010
twitter.com/mobileworldlive - feed of announcements from mobileworldlive.com
twitter.com/ShowDaily - daily newspaper issued at the conference

our people on the spot: alex_exler, @bazilisa, derloos, @dryab, eldarmurtazin, goncharow, iBubelo, olyapka, plushev, playd, @symsymsym, taranenko, @technoslav, turubar 

Video:

Live broadcasts on qik.com
The good old YouTube
Stream from Mobile World Live TV on TelecomTV - video from panel discussions and official events

What ""hot"" things await us?

Opera will hold a closed demonstration of Opera Mini on jailbreak iPhone - a browser 5 times faster than Safari
Demonstration of Windows Mobile 7 Series (which will be friends with XBOX Live!) + release date announcement + promo site
Samsung will show Wave (S8500) + Bada - yes, Wave, not Google Wave and Bada, not some nonsense
MOTOROI and MOTOAURA from you-know-who
Skype will finally integrate into Nokia N-series + joint project with Verizon
Sony Ericsson will show the world Vivaz pro
Premiere of the Notion Ink Adam tablet 
SIMFi = SIM card + Wi-Fi in one package
Announcement of a new AppStore by the 24 largest mobile operators (Vimpelcom is participating from Russia)
Adobe promises Flash and AIR for Android + unclear activity in an alliance with Microsoft
Presentation of OneAPI from GSMA - a lightweight universal API for creating web applications integrated into mobile operator systems (IMS^2 ???)
Vodafone 150 - the first mobile phone for $15 for developing markets (Africa)
Nokia and Intel merge in creative ecstasy MeeGo
Symbian OS 3

Opera is trolling Apple already at the airport level - such heroes!

via plushev.com + storyline development on intomobile.com

UPD: the topic is being updated, we write new relevant links and topics in the comments"
HP; HP ProLiant ProLiant G ML DL BL SL HP ProLiant SL hyperscalability high-load systems front web server Intel Xeon AMD Opteron Series,"In 1993, HP ProLiant servers, developed based on the x86 architecture, appeared on the market for the first time. The ProLiant family was supplemented with new lines as the application area of such devices grew. Until recently, you could choose from the ML series – tower servers typically bought individually; the DL series – rack-mounted machines for serious tasks, several of which are purchased with significant future-proofing in mind; and the BL series – filling the rack with a dozen of these blades, allowing you to add more as your needs grow.

However, in recent years, BL and their analogs have been used in situations where demands grow tens to hundreds of times – in web search engines, large databases, and scientific supercomputers. Although these servers' designs use various technologies to reduce power consumption and compact the internal components, operating complexes with several thousand computing nodes means even a small power saving and reduction in size per server would yield significant economic effects.

Thus, HP specifically developed the HP ProLiant SL6000 line, where a new form factor is used instead of the standard rack-mount case. Our new system uses a 2U chassis, the z6000, where several servers share common power supplies and fans. Compared to regular 1U servers, power consumption is reduced by 28%, and the overall weight of the server rack by 31%. This solution is also used in the BladeSystem chassis for the BL line, but the z6000 does not have a common backplane, which improves air cooling inside the chassis.

As with other 6th generation HP ProLiant systems, depending on the configuration in the z6000, you can use three power supply models: 460, 750, and 1200 watts. To simplify the deployment of large configurations, five SL6000s can be installed in one 10U bulk rail kit block.

Three types of 1U dual-processor ProLiant SL modules based on Xeon 5500 are installed in the z6000:

The HP ProLiant SL170z is designed for data storage applications, such as search engines and databases. It accommodates 6 full-sized SAS/SATA disks and 16 DDR3 DIMM memory modules.
The HP ProLiant SL2x170z is intended for supercomputing calculations and front-end web applications. It occupies half the width of a 19-inch rack, so four SL2x170z modules can be installed in the 2U z6000 chassis, doubling the processor power density compared to regular 1U servers. This model also supports 16 DDR3 DIMM memory modules but can only house a single 3.5-inch hard drive.
The HP ProLiant SL160z, designed for applications with intensive memory use (like web page caching), is equipped with 18 memory module slots and two PCI slots. It can accommodate two 3.5-inch disks.

Additionally, HP ProLiant SL165z modules based on AMD Opteron 2400 Series will soon be available.

All four models are equipped with a dual-port Gigabit Ethernet adapter and support DCMI and IPMI management with the possibility of shutting down individual server modules in the chassis.

Let's sincerely wish everyone that your tasks grow to such a scale that expanding your server fleet will mean purchasing several more HP ProLiant SL6000 racks! :)"
cyborg Steve Mann glogging glog cyborglogging big brother wearable computer eyetap webcam photolog videolog cyborg problems cyberlaw cyberpunk virtual light William Gibson,"It seems there's a clear interest in Gibson and cyberpunk on Habrahabr: one minute they're writing about the ""Neuromancer"" adaptation, the next about a guy from Obscura Digital waving his hands in the air exactly like Keanu Reeves in ""Johnny Mnemonic.""

And suddenly the Habrahabr crowd might start worrying about why designer Mac Funamizu depicted Gibson's ""Virtual Light"" as a transparent frame, not glasses. And for no good reason! Glasses that process the surrounding world's image have long been realized and are now being perfected by cyborg enthusiast Steve Mann:

Steve has been promoting the ideology of the ""wearable"" computer for several decades, first at MIT, then at his native University of Toronto.

Main areas Steve worked on:
Development of EyeTap technology. These are glasses that intercept the incoming image to the eye and, after passing it through a computer, pass it further into the eye. One of the models ready for mass production:

Image processing technologies. For example, Steve holds a patent for a technology to stitch several video frames into a whole picture:

CyborGLOGGING, reverse surveillance. Steve, as a self-respecting cyborg, develops and implements cyborg ideology. Cyborglogging, or simply glogging, is the continuous posting of videos and photos taken by ""wearable"" cameras. Steve even created a service for gloggers, where he also runs his own glog. Reverse surveillance is when an ordinary citizen's wearable device, typically ""wearable,"" records instead of Big Brother's all-seeing eye:
      
Naturally, such surveillance is not initiated by government services for covert control over citizens, but rather by movement activists for public use in diaries; all recorded information is maximally open. This is how Mann sees ideal surveillance: since the information is not secret, there can be no underhanded games or corruption; if someone's rights are violated, everyone sees it. If the recording invades someone's private life, no problem, as everything is maximally open, the information can immediately be deleted.

Cyborg Problems
Now the most interesting part: Steve Mann is a fervent ideologist and activist of his inventions and concepts. For the past three decades, he has been wearing a heap of metal on himself. This collage has circulated almost all internet editions; as you can see, until the mid-90s Steve had a hard time (in the literal sense):

Another very interesting fact from Steve's life: on February 18, 2002, Steve was detained by the security service at St. John's Airport, Canada. Until then, Steve had flown around the world unobstructed, with security services satisfied with his equipment documentation package (which included a note from his personal doctor stating that Steve was conducting an experiment and should not be without special equipment). ""The New York Times"" writes: during a personal inspection, the officers scattered the devices all over the floor (later forgetting to return part of the equipment worth almost $57,000 to the inventor), tore off the electrodes from Steve, causing bleeding. After the electronics were disabled, Steve lost spatial orientation (falling several times and once hitting his head on a hanging fire extinguisher), and he was wheeled to the gate in a wheelchair.

On Slashdot, I found an interesting discussion of the incident. Several of Steve's former and current students commented. They claimed that the journalists greatly exaggerated everything; students personally saw Steve sometimes remove his glasses and move around normally, that the inventor's equipment contains no biometric sensors or implants. One of Steve's MIT students suggested that looking at a two-dimensional image of the world (through the glasses' screens) for too long would inevitably cause disorientation. Someone suggested that Steve was simply very upset by what happened. In any case, everyone recognized that it was a very telling case of ""what happens if you deprive a person of gadgets that help them live.""

Several Photos
Here are some illustrations allowing you to immerse yourself in what Steve does. Here's a group photo of cyborg students from MIT, participating in Steve's early project on scanning the institute's surroundings:

Concept-fantasy ""PleaseWait: I'm not talking to strangers."" ""Insert passport into the reader on my head, and only then will I see and hear you. If you want to show me an advertisement, pay for my attention. Press '3' and insert a credit card"":

Wearable camera in a backpack:

Wearable camera on bra straps:

One application of EyeTap technology, the ""Adissolve"" project (literally ""ad dissolve""), where the system recognizes an advertisement in a magazine and replaces it with a photo uploaded from an art gallery:

The inventor's daughter, Christina Mann, captured with EyeTap glasses a few minutes after birth:

New Hobby
Currently, Steve is fascinated by musical hydro-instruments but still never parts with his glasses:

Links
I recommend continuing to explore the topic through the following links:
the ""Eyetap"" lab site, 
Steve Mann's site,
the ""info gargoyle"" blog dedicated to cyborgs and wearable computers,
the publication ""Continuous Lifelong Capture of Personal Experience with EyeTap,""
the publication ""Equiveillance: The equilibrium between Surveillance and Sousveillance."""
ACDC Alice Cooper Def Leppard Elvis Presley Iron Maiden Queen Scorpions Survivor The Offspring Velvet Revolver ZZ Top rock last.fm google friends,"Hello and stay healthy, dear Habr members! =)) The weather in Moscow is awful right now: it's cold, 13 degrees Celsius on the thermometer, feels like around 7-8, no sun, the wind is from the north, at least it's not raining. And in this weather, Uncle Sokki gathered his courage and finally executed his cunning plan. :) Actually, there was no space left on the sheet)) You’ll understand what sheet later.

About a month ago, I was searching for some radio station that played only the music which resonates the most with my soul and heart. And I stumbled upon The Rock Radio, where high-quality music streaming costs a bit of money (Backstage Pass for only $4.99/month), and low-quality is free. Without much thought, I put the audio stream into my favorite Rhythmbox in the radio stations section, and since then, I don’t remember turning off the speakers without hearing the sounds of songs from Metallica, AC/DC, ZZ Top, Iron Maiden, Alice Cooper, Queen, Aerosmith, Kiss, and others.

But this article is not about how cool all that is (although it is really cool!), but about my first rock compilation. Having heard a song that penetrated me from head to toe, I turned to my sheet and wrote down the band and song.

Fig.1. The best of the best =))
The next step was easy: find all this variety. I found everything except Jingle “Money”. Then I turned to the Twitter users and my friends. I want to express enormous thanks to the following people who spent their time helping me in the search:
vfaronov,
Vasyok Kuzminov,
Sanyok Timokhin,
Damirock,
Sanyok Artamonov,
andrejs.

Fig.2. Brainstorming
Our glorious seven searched everywhere: Googling in Yandex =)), on Last.fm, in torrents, on free mp3 sites, on The Rock Radio website… I was even ready, and still am, to pay a small fee of $1 (!!!) for that song)) But then we agreed that the band was not popular not only in Russia, not only in Europe, but even in America. So, it's a lost cause.
Well, here is, actually, the Rock #1 album:

Fig.3. Bloody guitar (just fits the theme) =))
01 ACDC — The Razors Edge
02 Alice Cooper — Billion Dollar Babies
03 Def Leppard — C'mon C'mon
04 Elvis Presley — Jailhouse Rock
05 Iron Maiden — Fear Of The Dark
06 Queen — Bohemian Rhapsody
07 Queen — Death on Two Legs Dedicated to…
08 Scorpions — Still Loving You
09 Survivor — Eye of the Tiger Rocky Balboa
10 The Offspring — I Wanna Be Sedated
11 Velvet Revolver — Dirty Little Thing
12 ZZ Top — La Grange

My blog"
telephone old hardware cellular communication mobile operators mobile phone analogy history nokia nokia russia turbulent nineties post-apocalypse museum museum IT museum of computer history,"Indestructible ""nuclear briefcase.""
A legend of the ""turbulent nineties.""
Almost the very same ""briefcase with a tube,"" more authentic only by trunking communication devices and ""RusAltay"" units.
Previously installed in the car of some bigwig, thanks to his careful handling, the device is in very good condition. It is hard to find a better prop for films about nuclear missiles, spies, and satellite communication with the president.

Under the cut, there are several photos and a story about this phone.

An analog mobile phone, more precisely a ""portable subscriber radio station of the NMT-450 standard."" It was used in the network of the operator MCC (""Moscow Cellular Communications""), which was widely known in the advertising of the ""Federal SOTEL network.""
There are no SIM cards; the number is hard-programmed in the network. SMS is not supported. At all. Voicemail provided by the operator worked ""wonderfully."" The ""phone book"" is memory for several speed-dialing numbers without search and familiar navigation.

Excellent reception quality was ensured by a 7W transmitter (compare with the power of GSM devices, which rarely reach one watt). Confident operation at maximum distance from the base station and unsurpassed battery life from the onboard batteries — a 1700mAh NiMH battery weighing more than 500 grams lasted up to 7 days. This device was designed to provide communication in any circumstances, and it always succeeded.

Charging is connected directly to the battery, but it can also be connected to the phone — it has an external power input for connecting to a car's onboard network or another power source.

A wired telephone line adapter allowed this device to emulate a PBX and make calls through it either with a modem, a fax, or a regular landline phone. A remote wooded area, a stump with a regular telephone handset on it, the wire from which goes to the line jack on a hidden Nokia 720. Pick up the handset. After a second, you hear the familiar dial tone. You can dial the number.

It is said that there are no functioning networks of this standard left now — the analog NMT-450 protocol quietly died even in the regions of Russia. There is no longer that range, that autonomy, or that power. You can no longer find that mystery, intrigue, and prestige that this device gave its owner. The quality was legendary. Truly Made In Finland.

The past is irrevocably gone, but this device will live. It has seen much. It is one of those devices with which mobile communication began as a phenomenon. One of the best devices. It is not its fault that the standard is no longer supported, and all its successors did not inherit its best qualities. They will still remain valuable.

UPD.
Can anyone tell if NMT-450 networks remain in some region?
Asked this question on netmonitor, seems like the guys were going somewhere allegedly to catch a signal, but no report of that trip has been seen.

UPD2.
Loaded weight with the battery — 1500 grams. The bottom of the device is a ribbed metal radiator.

Year of release — 1996."
ie microsoft browser web development web design firefox internet explorer opera safari javascript java script html layout css css compatibility ajax facebook mobile me apple,"IE6 (Microsoft Internet Explorer 6) was released in 2001. If you look at the date of this post, today is 2008. Various statistics show that about 20% of internet users today continue to use IE6. It is also worth noting that the share of IE6 has been rapidly decreasing since the beginning of 2008.

IE6 does not support standards, does not provide proper security, and contains a huge number of errors. Ensuring website compatibility with IE6 requires separate and labor-intensive work to track the errors of IE6 itself. Moreover, since 2001, the Internet has not stood still but has rapidly evolved towards so-called Web 2.0, and using all the latest technologies is not possible in IE6. For example, using complex JavaScript scripts.

Many Internet services have officially discontinued support for IE6, including Facebook and Apple's MobileMe.

Thus, today we have a problem: on the one hand, 20% of Internet users use IE6, and on the other, not all sites can be made compatible with IE6 due to the obsolescence of the browser itself.

Why don't users update the long-outdated browser? If you read the forums, you can note one trend. IE6 is a corporate standard for some companies, and corporate software has been created for it, which is only compatible with it. This is the reason why corporate computers are not updated to a new version of IE, and the installation of third-party browsers such as Firefox, Opera, or Safari is prohibited by security policy.

(If we do not talk only about corporate computers, it is worth noting that Windows Update is enabled by default in Windows XP, and the IE6 browser is automatically updated to IE 7 without problems.)

Thus, we have found out that IE6 is currently a unique browser that requires special code to make a website compatible with it.

I believe that for this reason, developing a site compatible with IE6 may be a separate item in the technical assignment for the site's development. If the task is to create a modern site compatible with IE6, this is a task for developing two sites. The first is compatible with all the latest browsers, and the second may have somewhat reduced features but is compatible with the outdated IE6.

One of the solutions to the problem of using IE6 could be determining the browser version and displaying a warning message that ""the site may not work or look as expected because you are using an outdated browser version,"" and suggesting updating the favorite browser to the latest version. This approach has been taken by the previously mentioned online services.

UPD: Microsoft has created a site with statistics on IE6 usage."
social networks Odnoklassniki.ru Odnoklassniki.km.ru HowGreatThatWeAreAllHereTogetherToday.ru domain names many letters Guinness World Records longest tags on Habr The length of one tag cannot exceed symbols,"The social network of the company ""KM Online"" has found its next incarnation. The very network that for a long time felt quite good under the name Classmates.km.ru (completely copying the name of the progenitor site Classmates.com), and then briefly and ingloriously lived under the nickname Odnoklassniki.km.ru (losing an intellectual property court dispute to Odnoklassniki.ru), has now received a name that may be recognized as the longest domain name in the Runet — HowWonderfulThatWeAreAllHereTogetherToday.ru. KM Online wants to include this achievement in the Guinness Book of Records.

The creativity of the creators of HWTAWAAHT.ru is bewildering in its scale and truly makes one think. Just consider these words from the press release: ""The name of the network is a line from a song by Oleg Mityaev. Initially, it was planned to quote the full verse of the song in the address bar. But, so as not to overly tire the user, the site's creators settled on the most popular words."" Damn, people with such energy could indeed have been able to bypass the technical limitation on domain name length of 63 ASCII characters!

It should be noted that the network already has about 3.2 million users who have endured (or are enduring) the turbulent times of active promotion on the Runet. Which overall is not bad, considering that they themselves are unlikely to confidently remember what their refuge is called now.

And finally. ""Unlike its competitors, the social network HowWonderfulThatWeAreAllHereTogetherToday.ru will provide only free services. Convenient friend search by interests, place of study, work, personalized informers, convenient blog service, 'invisible' status, and much more. Most of these services are absent in competitive social networks."" Competitors in the same text are directly named as ""Vkontakte"" and ""Odnoklassniki.ru"". It only remains to throw up your hands."
iPhone iPhone G The Korea Times KT LentaRu mobile WiMAX WiMAX Yota Yota Yota Scartel Scartel G video chat OLED OLED display Cortex Cortex-A ARM processors RFID,"The Korea Times reported yesterday that the Korean mobile operator KT plans to start sales in April of a new generation of iPhones, which this time will feature dual-core processors, powerful graphics coprocessors (for processing video and photos), organic light-emitting diode (OLED) screens, and support for live video chats.

The AppleInsider website published another leak from internal sources at Apple: the new devices will be equipped with ARM processors of the Cortex-A9 design, capable of exceeding the two-gigahertz frequency limit. It is also expected that RFID technology, providing contactless authentication, will be implemented.

These news have been retold on the Lenta.Ru website. And in the LJ community yota_ru, they are currently discussing whether mobile WiMAX (in particular, Yota) will be among the 4G technologies supported by the new iPhone. An image attracting attention is also provided there:

Most interesting is the list of new features on the right. In particular, the version of the operating system indicated in the illustration raises considerable doubts about the correspondence of this concept to objective reality.

Judging by its address, this image is from the December part of that Brazilian blog, but not knowing Brazilian, I can't find the corresponding blog post there.

The next date to check the Korean and Brazilian news is January 27; it is then (if you believe AppleInsider) that Apple plans to present the new iPhone 4.0 SDK to the public. Some developers reportedly received advice from Apple back in December last year to prepare their applications for launch on a screen that will exceed the 320×480 size."
