tags,texts
microsoft educational materials development flexible methodologies xna xna game studio aspnet parallel programming multithreading teamwork visual studio visual studio,"The library of educational courses has been replenished with new courses and books:

Technology of software system development
Fundamentals of computer game development in XNA Game Studio
Web application development on ASP.NET
Parallel programming for multi-core processors
Team development using Visual Studio Team Foundation Server
Introduction to Microsoft Visual Studio Team System 2008
Agile software development methodology
Descriptions and links under the cut.

Technology of software system development, A.V. Gavrilov

The course provides basic information on the technology of software system development. It examines the models and disciplines of the Microsoft Solution Framework (MSF) in detail. The main focus is on using the theoretical knowledge gained when implementing a specific software project. The use of the development tools environment Visual Studio Team System (VSTS) is demonstrated. The skills acquired allow for the design, analysis, and implementation of application software based on modern industrial development methods.

 Course program (245 KB)  Course structure (3.9 MB) 
 Lecture 1 (6.1 MB)  Lecture 2 (6.1 MB)  Lecture 3 (4.2 MB)  Lecture 4 (3.7 MB) 
 Lecture 5 (2.6 MB)  Lecture 6 (3.6 MB)  Lecture 7 (1.7 MB)  Lecture 8 (4.4 MB) 
 Lecture 9 (2.7 MB)  Lecture 10 (1.6 MB)

 

Fundamentals of computer game development in XNA Game Studio, Y.V. Dashko, A.A. Zaika, IUBiP

The course is dedicated to the basic methods of computer game development in XNA Game Studio 2.0, the development of documentation and the implementation of independent game projects. It is intended for C# programmers (students specializing in ""Applied Informatics""). The course is implemented as a discipline in the regional component of the curriculum for this specialty.

 Readme (578 bytes)  Course description (200 KB)  Lectures (831 KB) 
 Seminars (10 KB) 
 Laboratory — part 1 (3.5 MB)  Laboratory — part 2 (7.7 MB) 
 Laboratory — part 3 (5.5 MB)  Laboratory — part 4 (5.1 MB)

 

Web application development on ASP.NET, G. Magdanurov, Microsoft

The course is designed for developers with no experience using ASP.NET. C# is used as the programming language. It is advisable to know the basics of HTML/JavaScript, have a basic understanding of web applications, and have experience writing programs in C-like languages.

 Part 1 (922 KB)  Part 2 (1.2 MB)

 

Parallel programming for multi-core processors, Y. Serdyuk, A. Petrov

This course is aimed at studying and practical application of modern high-level parallel programming tools for multi-core processors – the Microsoft Parallel FX library and the MC# programming language. The use of such tools significantly increases productivity and effectiveness from an industrial point of view and allows involving a much larger number of programmers in regular parallel programming; from an educational standpoint, it provides opportunities for students in higher education institutions to successfully study and master these skills starting from the 2nd year.

 Lectures (835 KB)  Seminars (507 KB)

 

Team development using Visual Studio Team Foundation Server, J.D. Meyer, Jason Taylor, Alex McMann, Prashant Bansod, Kevin Jones

This guide is dedicated to deploying Team Foundation Server and its effective use for managing source code, automating builds, and managing work items and processes. The purpose of creating this guide is to provide resources, recommendations, and advice on creating an effective environment for team software development for everyone involved in this activity.

 Book (4.1 MB)

Introduction to Microsoft Visual Studio Team System 2008, A. Fedorov

Visual Studio Team System 2008 continues the evolution of the family of products for managing the entire application development lifecycle and includes new and improved tools, processes, and guidelines that will help improve collaborative teamwork and make it more effective. The tools included in Visual Studio Team System 2008 allow establishing more effective communication between project team members and customers, facilitating effective collaboration, and ensuring the expected code quality using advanced quality control tools, as well as providing insights into project activities and priorities that will enable decision-making based on real-time data.

 Book (618 KB)

Agile software development methodology, Microsoft

This guide is dedicated to the software development methodology Microsoft Solutions Framework for Agile Software Development by Microsoft. This methodology describes the approach and organization of work when creating software products and, unlike the broader and more abstract Microsoft Solutions Framework, is immediately ready for application. The guide is intended for project managers, as well as for developers, analysts, testers, architects, and possibly other members of the development team.

 Book (1.9 MB)"
HTC HTC Bravo HTC Legend HTC Salsa HTC Tide HTC Buzz HTC Photon HTC Trophy HTC Tera Android Windows Mobile,"Just recently, at a presentation organized by HTC for T-Mobile representatives, information about HTC's plans for the next year leaked.

So, the entire product line of HTC will be divided into several categories:

Design / Lifestyle — smartphones aimed at the youth market segment: HTC Legend, HTC Salsa.  
Social — youth smartphones focused on deep integration with social networks (Twitter, Facebook, Flickr): HTC Tide, HTC Buzz.  
Performance — smartphones that have thousands of horsepower under the hood: HTC Bravo.  
Productivity — smartphones running Windows Mobile designed for the business segment: HTC Photon, HTC Trophy, HTC Tera (remake of Touch Pro2).

According to Eldar Murtazin, a couple of key HTC devices are missing from this roadmap, such as HTC Espresso or the 10-inch tablet HTC Halo running Android.

Let’s move on to the description of the most anticipated smartphone on Habrhabr.

HTC Bravo — the first Android smartphone from the company, based on the gigahertz Qualcomm Snapdragon QSD8250 processor, capable of recording HD video in 720p format, featuring 512 MB of ROM and 256 MB of RAM (rumor has it that the RAM size will be increased to 512 MB). Also included is a 16 GB MicroSD memory card and a battery with a capacity of 1400 mAh. The display is a 3.7"" AMOLED with a capacitive touchscreen. The wait is almost over, the launch date is April 2010! A great competitor for the XPeria X10.

HTC Legend — another Android device that boasts a metal frame and a thickness of only 11.4 mm. Its specifications are more modest than those of the Bravo: 600 MHz Qualcomm MSM7227 as the processor, a 3.2"" capacitive display, 512 MB of ROM, and 256 MB of RAM. Judging by the shape, in March we’ll see another sibling of the HTC Hero!

HTC Salsa — a gift for fans of both Blackberry-style phones and Android at the same time. Salsa is a wonderfully designed monoblock with a QWERTY keyboard and a very tiny (by modern standards) 2.6"" resistive display. The heart of the smartphone is a Qualcomm MSM7225 528 MHz. It also has the standard 512 MB of RAM and 256 MB of ROM. The release date is June 2010.

HTC Tide — this is not a branded washing powder for HTC but a new Android smartphone designed for social network enthusiasts like Twitter, Facebook, Plurk, Flickr, etc. In terms of specifications, the phone is similar to the HTC Salsa: Qualcomm MSM7225 528 MHz, 512 MB of RAM, and 256 MB of ROM. The display is a 2.68"" QVGA with a resistive touchscreen. The release date is April 2010.

HTC Buzz — a new incarnation of HTC Tattoo, but this time much prettier, very thin (11 mm), and also featuring a 3.2"" capacitive touchscreen display. Other specifications include Qualcomm MSM7225 528 MHz, 512 MB of RAM, and 256 MB of ROM. Fans of highlighting their individuality with accessories will receive a new toy in May 2010.

HTC Photon — a logical continuation of the HTC Diamond series, HTC Touch Diamond 2, but this time significantly more advanced, particularly: the design is reminiscent of the HTC HD2. The device will also be equipped with a 3.2"" capacitive HVGA display, a Qualcomm MSM7227 600 MHz processor, 512 MB of RAM, and 256 MB of ROM. The thickness of the smartphone is also impressive — only 10.9 mm. The wait is almost over — April 2010!

HTC Trophy — another attempt to penetrate the Blackberry market, but this time the smartphone will run Windows Mobile 6.5. A pleasant design in the style of the HTC HD2 and a 3"" capacitive VGA display should also be noted. Other specifications are standard: Qualcomm MSM7227 600 MHz, 512 MB of RAM, and 256 MB of ROM. It’s worth mentioning that all HTC phones have significantly slimmed down: the thickness of the HTC Trophy is 11 mm. Premiere — May 2010.

HTC Tera — no more than a remake of the HTC Touch Pro 2, only this time smaller, thinner, and sleeker. Qualcomm MSM7227 600 MHz, 512 MB of RAM, 256 MB of ROM, also included is a resistive 3.2 WQVGA display, a full QWERTY keyboard, but most importantly — a thickness of 15 mm! Release date — April 2010.

It should be added that the HTC HD2 will be the flagship in the HTC product line throughout 2010, meaning that buying now will not lead to regrets in three months :) HTC is slowly getting rid of Windows Mobile phones, relegating them to the business market segment, while all main niches are occupied by Android. Tech enthusiasts have started saving up for the HTC Bravo, and I am too :)

HTC has done an enormous job and seems to have made an effort to outclass everyone: Samsung with AMOLED displays, Blackberry with QWERTY monoblocks, and Apple with gigahertz processors and support for OpenGL ES 2.0.

Source: xda-developers.com  
Official information can always be obtained via HTC Russia's Twitter: twitter.com/HTC_Ru"
mwc skype samsung nokia se opera apple iphone microsoft WinMo appstore motorola adobe VimpelCom htc OneAPI Vodafone MeeGo xbox wp,"Distant February 2007.

Seven long days spent on the streets of Barcelona with not a single euro cent in pocket. Life on La Rambla; African American drug dealers; girls of frivolous behavior; locals who understand nothing in English; the most cultured police in the world, oranges on the trees... Hundreds of paths have been trampled — thousands have known the heavy roads! However, then came the acquisition of press accreditation, entry inside, and immersion into the real boiling of the world telecom! All this is possible only in one place in the world: Spain, Barcelona, February, Mobile World Congress.

So, right now the most interesting event of the year for the entire mobile industry is beginning. Almost 100,000 people are gathering in one place to showcase their best developments, set trends for the year ahead, and of course, amuse us with new products and announcements. Well, since they are there, and we are here, there’s no reason not to follow them closely:

Official event website: mobileworldcongress.com

Special project from the organizers mobileworldlive.com (it makes sense to register there)
Brochure with complete congress information and event schedule: .PDF (6.8 Mb), no registration required

Live broadcasts on Engadget: engadget.com/tag/liveblog
Thematic publications on Gizmodo
Special section on Mobile-review + the first 4 articles (introduction, Samsung Wave, Bada, HTC Smart)
Broadcasting on Content-review
MWC from the gamers' perspective

Twitter:

twitter.com/gsmworld — official tweet feed + hashtags: #MWC, #MWC10, #MWC2010
twitter.com/mobileworldlive — announcements feed from mobileworldlive.com
twitter.com/ShowDaily — daily newspaper published at the conference

Our people on the ground: alex_exler, @bazilisa, derloos, @dryab, eldarmurtazin, goncharow, iBubelo, olyapka, plushev, playd, @symsymsym, taranenko, @technoslav, turubar

Video:

Live broadcasts on qik.com
Good old YouTube
Stream from Mobile World Live TV on TelecomTV — videos from panel discussions and official events

What ""hot"" news awaits us?

Opera will hold a closed presentation of Opera Mini on a jailbroken iPhone — a browser 5 times faster than Safari
Demonstration of Windows Mobile 7 Series (which will be friendly with XBOX Live!) + announcement of release date + promo site
Samsung will showcase Wave (S8500) + Bada — yes, Wave not Google Wave and Bada not baida
MOTOROI and MOTOAURA from you-know-who
Skype will completely integrate into Nokia N-series + joint project with Veziron
Sony Ericsson will reveal Vivaz pro to the world
Premiere of the Notion Ink Adam tablet
SIMFi = SIM card + Wi-Fi in one bottle
Announcement of a new AppStore from 24 largest mobile operators (VimpelCom is participating from Russia)
Adobe promises Flash and AIR for Android + currently unclear activity in alliance with Microsoft
Presentation of OneAPI from GSMA — an easy universal API for creating web applications that integrate into mobile operator systems (IMS^2 ???)
Vodafone 150 — the first mobile phone for $15 for developing markets (Africa)
Nokia and Intel merge in creative ecstasy MeeGo
Symbian OS 3

Opera is already trolling Apple at the airport level — what champions they are!

via plushev.com + plot development on intomobile.com

UPD: the topic is being updated, please comment new relevant links and topics."
HP; HP ProLiant ProLiant G ML DL BL SL HP ProLiant SL hyperscale high-load systems front-end web server Intel Xeon AMD Opteron Series,"In 1993, HP ProLiant servers, developed based on x86 architecture, first appeared on the market. The ProLiant family expanded with new series as the application areas for such devices grew. Until recently, one could choose from the ML line – tower servers, which you usually buy individually; DL – rack servers for serious tasks, several of which you purchase with significant future capacity in mind; and BL – by filling a rack with a dozen of such blades, you can always add more if demand increases.

However, in recent years, BL and their analogs have been used when demands increase by tens and hundreds of times – in web search engines, large databases, and scientific supercomputers. Although various technologies are applied in the design of these servers to ensure reduced power consumption and compact placement of internal components, even a small power saving and reduction in dimensions at the level of a single server would have a significant economic effect when operating systems with several thousand computing nodes.

Therefore, HP specifically developed the HP ProLiant SL6000 series, which uses a new form factor instead of a standard rack mount case. Our new system utilizes a two-unit chassis z6000, where multiple servers share common power supplies and fans. Compared to regular one-unit servers, power consumption is reduced by 28%, and the overall weight of the server rack is reduced by 31%. This solution is also used in the BladeSystem chassis for the BL series, but the z6000 does not have a common unifying panel, improving airflow cooling within the chassis.

As with other HP ProLiant sixth-generation systems, depending on the equipment configuration in the z6000, three models of power supplies can be used: 460, 750, and 1200 watts. To simplify the deployment of large configurations, five SL6000 can be installed in one 10-unit bulk rail kit.

Three types of one-unit dual-processor ProLiant SL server modules based on Xeon 5500 are installed in the z6000:

The HP ProLiant SL170z is designed for data storage applications, such as search engines and databases. It accommodates 6 full-size SAS/SATA disks and 16 DDR3 SIM memory modules.
The HP ProLiant SL2x170z is intended for supercomputing calculations and servicing front-end web applications. It takes up half of a 19-inch rack width, allowing four SL2x170z modules to be installed in the two-unit z6000 chassis, effectively doubling the density of processing power compared to regular one-unit servers. This model also supports the installation of 16 DDR3 SIM memory modules but can only accommodate one 3.5-inch hard drive.
The HP ProLiant SL160z, designed for working with memory-intensive applications (such as web page caching), is equipped with 18 memory module slots and two PCI slots. It can host two 3.5-inch drives.

Additionally, HP ProLiant SL165z modules based on AMD Opteron 2400 Series will soon be available for sale.

All four models are equipped with a dual-port Gigabit Ethernet adapter and support DCMI and IPMI management with the ability to turn off individual server modules in the chassis.

All that remains is to sincerely wish everyone that your tasks grow to such scales that expanding the server fleet will mean purchasing a few more HP ProLiant SL6000 racks! :)"
cyborg Steve Mann glogging glog cyborglogging big brother wearable computer eyetap webcam photolog videolog problems of cyborgs cyber law cyberpunk virtual light William Gibson,"It seems that there has been a noticeable interest in Gibson and cyberpunk on Habr: sometimes they write about the adaptation of ""Neuromancer,"" sometimes about a colleague from Obscura Digital who moves his hands in the air just like Keanu Reeves in ""Johnny Mnemonic."" 

And suddenly, the Habr community starts to worry why designer Mak Funamizu depicted Gibson's ""virtual light"" as a transparent frame instead of glasses. And it's completely pointless! Glasses that process images of the surrounding world have long been realized, and are currently being perfected by cyborg enthusiast Steve Mann:

For several decades, Steve has been promoting the ideology of the ""wearable"" computer, first at MIT, then at his alma mater, the University of Toronto.

The main areas Steve has worked on:
Development of EyeTap technology. These are the very glasses that intercept the incoming image into the eye, and, after processing it through a computer, pass it on to the eye. One of the models ready for mass production:

Image processing technologies. For example, Steve has a patent for the technology of stitching multiple video frames into a single picture:

CyborGLOGGING, reverse surveillance. As a self-respecting cyborg, Steve develops and implements cyborg ideology. Cyborglogging, or simply glogging, is the continuous posting of videos and photographs taken with ""wearable"" cameras. Steve even created a service for gloggers, where he also maintains his own glog. Reverse surveillance is when, instead of the all-seeing eye of Big Brother, the recording is done by a wearable device of an ordinary citizen, usually ""wearable"":
 
Such surveillance is, of course, not initiated by state services for covert control over citizens, but rather by activists of the movement for public use in diaries, where all recorded information is as open as possible. This is how Mann envisions ideal surveillance: since the information is not secret, there can be no underhanded games or corruption—if someone's rights are violated, everyone will see it. If the recording intrudes into someone's private life—it’s not a problem, since everything is as open as possible, the information can be deleted immediately.

Problems of the cyborg. Now for the most interesting part: Steve Mann is an ardent ideologist and activist of his inventions and concepts. That’s why for the last three decades he has carried a heap of hardware. This collage has circulated in nearly all Internet publications, as you can see, through the mid-90s Steve had a hard time (in the literal sense):

Another very interesting fact from Steve's life: on February 18, 2002, Steve was detained by security at St. John's airport in Canada. Until that moment, Steve had flown around the world without hindrance, security services were satisfied with his documentation for the equipment (which included a note from his personal doctor stating that Steve was conducting an experiment and it was not recommended for him to go without special equipment). ""The New York Times"" reports: during a personal search, the staff scattered the devices all over the floor (later, they forgot to return part of the equipment worth nearly $57,000), and electrodes were torn from Steve, causing bleeding. After the electronics were disabled, Steve lost spatial orientation (he fell several times, once hitting his head on a hanging fire extinguisher), and was wheeled to his boarding in a stretcher.

On Slashdot, I found an interesting discussion of the incident. Several former and current students of Steve wrote in. They claim that journalists exaggerated everything significantly; students personally saw that Steve sometimes takes off his glasses and walks normally, and that the inventor's equipment does not contain any biometric sensors, let alone implants. One of Steve's MIT students suggested that if you look at a two-dimensional picture of the world for a long time (through the glasses' screens), disorientation will inevitably occur. Someone suggested that Steve was simply very upset by what happened. In any case, everyone agreed that this is a telling case in the series ""what happens when a person is deprived of the gadgets that help him live.""

A few photos. I will provide several illustrations that help to immerse oneself in the atmosphere of what Steve does. Here’s a group photo of cyborg students from MIT participating in an early project of Steve’s on scanning the surroundings of the institute:

Concept fantasy ""PleaseWait: I do not talk to strangers."" ""Insert your passport into the reader on my head and only then will I see and hear you. If you want to show me an advertisement, pay for my attention. Press '3' and insert your credit card"":

A wearable camera in a backpack:

A wearable camera in a bra:

One of the applications of EyeTap technology, the ""Adissolve"" project (literally ""dissolving advertisement""), in the illustration the system recognizes an ad in a magazine and replaces it with a photo uploaded from an art gallery:

The inventor's daughter, Christina Mann, captured through EyeTap glasses just a few minutes after birth:

New hobby. Now Steve is interested in musical hydro-instruments, however, he still does not part with his glasses:

Links. I recommend continuing to explore the topic through the following links:

the EyeTap lab website,
Steve Mann's website,
the blog ""info gargoyle,"" dedicated to cyborgs and wearable computers,
the publication ""Continuous Lifelong Capture of Personal Experience with EyeTap,""
the publication ""Equiveillance: The equilibrium between Sur-veillance and Sous-veillance."""
ACDC Alice Cooper Def Leppard Elvis Presley Iron Maiden Queen Scorpions Survivor The Offspring Velvet Revolver ZZ Top rock lastfm google friends,"Hello and stay healthy, dear Habravchans! =)) The weather in Moscow is terrible right now: it's cold, the thermometer shows 13 degrees Celsius, but it feels like around 7-8, there's no sun, the wind is from the north, at least there's no rain. And in this weather, Uncle Sokki gathered himself and finally carried out his cunning plan. :) In fact, there was no room left on the sheet of paper)) You will understand what sheet I mean later.

About a month ago, I was searching for a radio station that played only the music that resonates the most in my soul and heart. I stumbled upon the Rock radio, where streaming music in high quality costs money (Backstage Pass for only $4.99/month), while low quality is free, meaning it’s on the house. Without thinking much, I put the audio stream into my favorite Rhythmbox in the radio station section, and since then I can't remember turning off the speakers and not hearing the sounds of Metallica, AC/DC, ZZ Top, Iron Maiden, Alice Cooper, Queen, Aerosmith, Kiss, and others.

But this article isn't about how cool all this is (and it really is cool!), but about my first rock compilation. Hearing a composition that pierced me from head to toe, I turned to my sheet of paper and wrote down the band and the song.

Fig.1. The best of the best =))

Next, it was just a matter of finding this variety. Everything was found, except for Jingle ""Money."" Then I turned to the Twitter community and my friends. I express my huge thanks to the following people who spent their time helping me in the search:

vfaronov,  
Vasyok Kuzminov,  
Sanyok Timokhin,  
Damirock,  
Sanyok Artemonov,  
andrejs.

Fig.2. Brainstorm

Where our glorious seven didn’t search: we googled on Yandex =)), on last.fm, on torrents, on free mp3 giveaway sites, on the Rock radio website… I was even willing, and I’m still willing, to pay a small fee of $1 (!!!) for that song)) But then we came to the conclusion that the band is not very popular not only with us in Russia, not only in Europe, but also in America itself. So it’s tough going. 

And here is, in fact, the Rock #1 album:

Fig.3 Bloody guitar (just relevant) =))  
01 ACDC — The razors edge  
02 Alice Cooper — Billion dollar babies  
03 Def Leppard — Cmon Cmon  
04 Elvis Presley — Jailhouse rock  
05 Iron Maiden — Fear Of The Dark  
06 Queen — Bohemian rhapsody  
07 Queen — Death on two legs dedicated to…  
08 Scorpions — Still loving you  
09 Survivor — Eye of a tiger rocky balboa  
10 The Offspring — I wanna be sedated  
11 Velvet revolver — Dirty little thing  
12 ZZ Top — La grange  

My blog"
telephone old hardware mobile communication mobile operators mobile phone analog history Nokia Nokia Russia wild nineties post-apocalypse museum IT museum computer history,"Indestructible ""nuclear briefcase.""  
The legend of the ""wild nineties.""  
Practically the same as the ""briefcase with a tube,"" only more authentic than the trunking communication devices and ""RusAltai"" blocks.  
Previously used in the car of some cool guy; thanks to his careful handling, the device is in very good condition. It’s hard to find better props for movies about nuclear missiles, spies, and satellite communication with the president.  

Below are several photos and a story about this phone.

Analog mobile phone, more precisely, a ""portable subscriber radio station standard NMT-450."" Used in the network of the operator MSC (""Moscow Cellular Communication""), which was widely known in the advertisement ""Federal Network SOTEL.""  
No SIM cards; the number is hard-coded in the network. SMS is not supported. At all. Voice mail via the operator worked ""like a charm."" The ""phone book"" is just a memory for several speed-dial numbers without search or familiar navigation.

Excellent reception quality was ensured by a 7W transmitter (compared to GSM devices rarely reaching one watt). Reliable operation at maximum distance from the base station and unmatched battery life from onboard batteries—a 1700mAh NiMH battery weighing over 500 grams could last up to 7 days. This device was designed to provide communication under any circumstances, and it always succeeded.

Charging connects directly to the battery, but it can also connect to the phone—there's an external power input for connecting to the vehicle's onboard network or another source.

A wired telephone line adapter allowed this device to emulate a PBX and make calls through it with a modem, fax, or regular wired phone. In a distant wooded area, a stump with a regular telephone device and a cord leading to a line connector on a hidden Nokia 720. We pick up the receiver. After a second, the familiar dial tone is heard. You can dial the number.

They say there are no longer any active networks of this standard—analog protocol NMT-450 has quietly died even in the regions of Russia. Neither that range, nor that independence, nor that power can be found anymore. The mystery, enigma, and prestige that this device gave its owner are gone. The quality was legendary. Truly Made in Finland.

The past is irrevocably lost, but this device will live on. It has seen much. This is one of those devices that marked the beginning of cellular communication as a phenomenon. One of the best devices. It’s not its fault that this standard is no longer supported, and all successors did not inherit its best qualities. They will still retain their value.

UPD.  
Who can tell me if there are any regions where NMT-450 networks still exist?  
I asked this question on netmonitor; it seems that the guys went somewhere supposedly to catch signal, but I never saw a report on that trip.

UPD2.  
The equipped mass with the battery is 1500 grams. The bottom of the device features a ribbed metal radiator.

Year of manufacture—1996."
ie microsoft browser web development web design firefox internet explorer opera safari javascript java script html layout css css compatibility ajax facebook mobile me apple,"IE6 (Microsoft Internet Explorer 6) was released in 2001. Looking at the date of this post, it is now 2008. Various statistics show that about 20% of internet users continue to use IE6 today. It is also worth noting that the share of IE6 has been rapidly decreasing since the beginning of 2008.

IE6 does not support standards, does not provide adequate security, and contains a huge number of bugs. To ensure compatibility of websites with IE6, separate and labor-intensive work is required to track the bugs of IE6 itself. Moreover, since 2001, the Internet has not stood still but has rapidly evolved towards what is known as Web 2.0, and the use of all the latest technologies is not possible in IE6. For example, the use of complex JavaScript scripts.

Many internet services have officially discontinued support for IE6, including Facebook and Apple’s MobileMe.

Thus, today we have a problem: on one hand, 20% of internet users use IE6, and on the other, not all websites can be made compatible with IE6 due to the browser’s outdatedness.

Why do users not upgrade their long-outdated browser? If you read the forums, you can note one trend. IE6 is a corporate standard for some companies, and corporate software has been created for it which is only compatible with that browser. This is the reason that updates to a new version of IE are not made on corporate computers, and the installation of third-party browsers, such as Firefox, Opera, or Safari, is prohibited by security policy.

(If we don't only talk about corporate computers, it is worth noting that Windows Update is enabled by default in Windows XP, and the IE6 browser automatically updates to IE 7 without any problems.)

Thus, we have determined that IE6 is currently a unique browser that requires special code to ensure website compatibility.

I believe that for this reason, the development of a website compatible with IE6 can be a separate item in the technical specifications for website development. If there is a task to create a modern website compatible with IE6—this is a task for developing two websites. The first is compatible with all the latest browsers, and the second may have slightly reduced capabilities but is compatible with the outdated IE6.

One way to resolve the problem of using IE6 may be to detect the browser version and display a warning message stating that “the website may not function and look as expected because you are using an outdated version of the browser,” and suggest updating to the latest version of the preferred browser. This is approximately how the aforementioned internet services have acted.

UPD: Microsoft has created a website with statistics on the use of IE6."
social networks Odnoklassnikiru Odnoklassnikskmru HowGreat ThatWeAreAllGatheredHereTodayru domain names many letters Guinness World Records the longest tags on Habr The length of one tag cannot exceed characters,"The social network of the company ""KM Online"" has found its latest incarnation. This is the same network that felt quite well under the name Classmates.km.ru for a long time (copying the name of the parent site Classmates.com) and then briefly and ignobly lived under the nickname Odnoklassniki.km.ru (losing a legal dispute over intellectual property to Odnoklassniki.ru), which has now received a name that could be recognized as the longest domain name in the Russian internet — KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru. This achievement is something that ""KM Online"" wants to submit to the ""Guinness World Records.""

The creativity of the creators of KZCHVMS.ru is baffling in its scale and truly makes one think. Just consider these words from the press release: ""The name of the network is a line from Oleg Mityaev's song. Initially, it was planned to quote the entire verse of the song in the address bar. However, to avoid tiring the user too much, the creators of the site settled on the most popular words."" Damn, with such energy, people could really get around the technical limitation of a 63-character ASCII domain name!

It is worth noting that there are already about 3.2 million users in the network, who have experienced (or are experiencing) the turmoil of active promotion in the Russian internet. This is quite a lot, considering that they are unlikely to confidently recall what their haven is called now.

And lastly, ""Unlike competitors, the social network KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru will provide only free services. Convenient friend search by interests, place of study, work, individual informers, convenient blog services, 'invisible' status, and much more. Most of these services are absent in competitive social networks."" The competitors mentioned in the same text are explicitly referred to as ""VKontakte"" and ""Odnoklassniki.ru."" It remains only to throw up one’s hands."
iPhone iPhone G The Korea Times KT LentaRu mobile WiMAX WiMAX Yota Yota Scartel Scartel G video chat OLED OLED display Cortex Cortex-A ARM processors RFID,"The publication ""The Korea Times"" reported yesterday that the Korean mobile operator, known as KT, plans to start selling the new generation of iPhones in April, which will be equipped with dual-core processors, powerful graphics coprocessors (for processing video and photos), OLED screens, and will support live video chats. 

The website ""AppleInsider"" publishes another leak from internal sources at Apple: the new devices will be equipped with Cortex-A9 design ARM processors capable of exceeding the two-gigahertz frequency limit. The introduction of RFID technology for contactless authentication is also expected. 

These news items are summarized on the Lenta.Ru website. Meanwhile, in the LJ community yota_ru, they are currently discussing whether mobile WiMAX (specifically, Yota) will be among the 4G technologies supported by the new iPhone. There, a picture is provided that draws attention:

Most of all, the list of new features on the right side draws interest. In particular, the version of the operating system indicated in the illustration raises significant doubts about the correspondence of this concept to objective reality.

Judging by its address, this picture is from the December part of that Brazilian blog; however, lacking knowledge of Brazilian, I cannot find the corresponding blog post there.

The nearest date for checking Korean and Brazilian news is January 27; it is then (if we are to believe ""AppleInsider"") that Apple intends to present the new iPhone 4.0 SDK to the public. Some developers reportedly received advice from Apple in December of last year to prepare their applications for a screen that will exceed the dimensions of 320×480."
