tags,texts
microsoft educational materials development flexible methodologies xna xna game studio aspnet parallel programming multicore teamwork visual studio visual studio,"The library of educational courses has been supplemented with new courses and books:

Technology of software development
Fundamentals of game development in XNA Game Studio
Development of web applications on ASP.NET
Parallel programming for multicore processors
Team development using Visual Studio Team Foundation Server
Introduction to Microsoft Visual Studio Team System 2008
Agile software development methodology
Descriptions and links are provided below.

Technology of software development, A.V. Gavrilov

The course provides basic information on software development technology. Models and disciplines of Microsoft Solution Framework (MSF) are examined in detail. The main emphasis is on the use of theoretical knowledge in the implementation of a specific software project. The use of the team development environment is demonstrated using Visual Studio Team System (VSTS) as an example. The acquired skills allow for the design, analysis, and implementation of application software based on modern industrial development methods.

Course program (245 KB) Course structure (3.9 MB)
Lecture 1 (6.1 MB) Lecture 2 (6.1 MB) Lecture 3 (4.2 MB) Lecture 4 (3.7 MB)
Lecture 5 (2.6 MB) Lecture 6 (3.6 MB) Lecture 7 (1.7 MB) Lecture 8 (4.4 MB)
Lecture 9 (2.7 MB) Lecture 10 (1.6 MB)

Fundamentals of game development in XNA Game Studio, Yu.V.Dashko, A.A.Zaika, IUbiP

The course is dedicated to the main methods of game development in XNA Game Studio 2.0, documentation development, and implementation of independent game projects. It is intended for C# programmers (students of the ""Applied Informatics"" specialty). The course is implemented as a discipline of the regional component of the curriculum for the specified specialty.

Readme (578 bytes) Course description (200 KB) Lectures (831 KB)
Seminars (10 KB)
Laboratories - part 1 (3.5 MB) Laboratories - part 2 (7.7 MB)
Laboratories - part 3 (5.5 MB) Laboratories - part 4 (5.1 MB)

Development of web applications on ASP.NET, G.Magdanurov, Microsoft

The course is designed for developers who have no experience with ASP.NET. C# is used as the programming language. It is desirable to have knowledge of HTML/JavaScript basics, basic understanding of web applications, and experience in writing programs in C-like languages for training.

Part 1 (922 KB) Part 2 (1.2 MB)

Parallel programming for multicore processors, Yu.Serdyuk, A.Petrov

This course is aimed at studying and practical application of modern high-level tools for parallel programming for multicore processors - Microsoft Parallel FX library and MC# programming language. The use of such tools, from an industrial point of view, significantly improves the performance and productivity of programmers' work and allows a much larger number of programmers to be involved in regular parallel programming. From an educational point of view, it provides students with the opportunity to successfully study and master these tools starting from the 2nd year of university.

Lectures (835 KB) Seminars (507 KB)

Team development using Visual Studio Team Foundation Server, J.D. Meyer, Jason Taylor, Alex Mackman, Prashant Bansod, Kevin Jones

The guide is dedicated to the deployment of Team Foundation Server and its effective use for source code management, build automation, work item and process management. The goal of creating this guide is to provide resources, recommendations, and advice on creating an effective environment for team software development for anyone involved in this activity.

Book (4.1 MB)

Introduction to Microsoft Visual Studio Team System 2008, A.Fedorov

Visual Studio Team System 2008 continues the development of the product family for managing the entire application lifecycle and contains new and improved tools, processes, and guidance to improve collaborative teamwork and make it more efficient. The tools included in Visual Studio Team System 2008 allow for better communication between project team members and customers, establish effective collaboration, ensure the expected quality of code using advanced quality control tools, gain insight into project activities and priorities to make decisions based on real-time data.

Book (618 KB)

Agile software development methodology, Microsoft

This guide is dedicated to the Microsoft Solutions Framework for Agile Software Development methodology. This methodology describes the approach and organization of work in creating software products and, unlike the more extensive and abstract Microsoft Solutions Framework system, is ready for immediate use. The guide is intended for project managers, as well as developers, analysts, testers, architects, and possibly other members of the development team.

Book (1.9 MB)"
"HTC HTC Bravo HTC Legend HTC Salsa HTC Tide HTC Buzz HTC Photon HTC Trophy HTC Tera Android Windows Mobile

HTC HTC Bravo HTC Legend HTC Salsa HTC Tide HTC Buzz HTC Photon HTC Trophy HTC Tera Android Windows Mobile","Recently, at a presentation organized by HTC for T-Mobile representatives, there was a leak of information about HTC's plans for next year.

So, the entire HTC product line will be divided into several categories:

Design / Lifestyle - smartphones aimed at the youth market segment: HTC Legend, HTC Salsa.
Social - youth smartphones aimed at tight integration with social networks (Twitter, Facebook, Flickr): HTC Tide, HTC Buzz.
Performance - smartphones with powerful performance: HTC Bravo.
Productivity - Windows Mobile smartphones designed for the business segment: HTC Photon, HTC Trophy, HTC Tera (a remake of Touch Pro2).

According to Eldar Murtazin, this roadmap does not include a couple of key HTC devices, such as HTC Espresso or the 10-inch Tablet HTC Halo running on Android.

Let's move on to the description of the most anticipated smartphone on Habrahabr.

HTC Bravo - the first Android smartphone from the company, based on the gigahertz Qualcomm Snapdragon QSD8250 processor, capable of recording HD video in 720p format, with 512 MB ROM and 256 MB RAM (rumors suggest that the RAM size will be increased to 512 MB). It also comes with a 16 GB MicroSD memory card and a 1400 mAh battery. It uses a 3.7"" AMOLED capacitive touchscreen display. The launch date is in April 2010! An excellent competitor to the XPeria X10.

HTC Legend - another Android device that boasts a metal frame and a thickness of only 11.4 mm. Its specifications are more modest than the Bravo: a 600 MHz Qualcomm MSM7227 processor, a 3.2"" capacitive display, 512 MB ROM, and 256 MB RAM. Judging by the shape, we can expect another sibling of the HTC Hero in March!

HTC Salsa - a gift for fans of both Blackberry and Android. Salsa is a beautiful monoblock device with a QWERTY keyboard and a small (by modern standards) resistive 2.6"" display. The heart of the smartphone is the Qualcomm MSM7225 528 MHz processor. It also has the standard 512 MB RAM and 256 MB ROM. The release date is in June 2010.

HTC Tide - this is not a branded laundry detergent for HTC, but a new Android smartphone designed for fans of social networks like Twitter, Facebook, Plurk, Flickr, etc. In terms of specifications, the phone is similar to the HTC Salsa: Qualcomm MSM7225 528 MHz, 512 MB RAM, and 256 MB ROM. It has a 2.68"" QVGA resistive touchscreen display. The release date is in April 2010.

HTC Buzz - a new incarnation of the HTC Tattoo, but this time much more attractive, very thin (11 mm), and with a capacitive 3.2"" touchscreen display. Other specifications include Qualcomm MSM7225 528 MHz, 512 MB RAM, and 256 MB ROM. Those who like to emphasize their individuality with accessories will get a new toy in May 2010.

HTC Photon - a logical continuation of the HTC Diamond series, HTC Touch Diamond 2, but this time significantly improved, with a design similar to the HTC HD2. The device will also be equipped with a 3.2"" capacitive HVGA display, a Qualcomm MSM7227 600 MHz processor, 512 MB RAM, and 256 MB ROM. The thickness of the smartphone is only 10.9 mm. The wait is almost over - April 2010!

HTC Trophy - another attempt to enter the Blackberry market, but this time the smartphone will run on Windows Mobile 6.5. It also features a pleasant design in the style of the HTC HD2, a 3"" capacitive VGA display. The other specifications are standard: Qualcomm MSM7227 600 MHz, 512 MB RAM, and 256 MB ROM. It is worth noting that all HTC phones have significantly slimmed down: the thickness of the HTC Trophy is 11 mm. The premiere is in May 2010.

HTC Tera - nothing more than a remake of the HTC Touch Pro 2, but this time smaller, thinner, and more stylish. Qualcomm MSM7227 600 MHz, 512 MB RAM, 256 MB ROM, a 3.2"" WQVGA resistive display, and a full QWERTY keyboard, but the most important feature is its thickness of 15 mm! The release date is in April 2010.

It is worth adding that the HTC HD2 will be the flagship product in the HTC product line throughout 2010, so buying it now means not regretting it in 3 months :) HTC is slowly getting rid of Windows Mobile phones, leaving them for the business market segment, while Android occupies the main niches. Geeks have already started saving up for the HTC Bravo, and I am too :)

HTC has done a tremendous job and seems to have outperformed everyone: Samsung with AMOLED displays, Blackberry with QWERTY monoblocks, and Apple with gigahertz processors and OpenGL ES 2.0 support.

Source: xda-developers.com
Official information can always be obtained through the HTC-Russia Twitter account: twitter.com/HTC_Ru"
"mwc skype samsung nokia se opera apple iphone microsoft WinMo appstore motorola adobe вымпелком htc OneAPI Vodafone MeeGo xbox wp

Mobile World Congress, Skype, Samsung, Nokia, Sony Ericsson, Opera, Apple, iPhone, Microsoft, Windows Mobile, App Store, Motorola, Adobe, VimpelCom, HTC, OneAPI, Vodafone, MeeGo, Xbox, Windows Phone","Distant February 2007.

Seven long days spent on the streets of Barcelona without a single euro in my pocket. Life on La Rambla; Afro-American drug dealers; girls of frivolous behavior; locals who don't understand English; the most cultured police in the world, oranges on trees... Hundreds of roads were trampled - thousands endured difficult paths! But then - receiving press accreditation, entering inside and immersing into the real turmoil of the world of telecom! All this is possible only in one place in the world: Spain, Barcelona, February, Mobile World Congress.

So, right now the most interesting event of the year for the entire mobile industry begins. Almost 100,000 people gather in one place to showcase their best developments, set trends for the year ahead, and of course, amuse us with novelties and announcements. Well, since they are there and we are here, there is no reason not to follow them:

Official event website: mobileworldcongress.com

Special project from the organizers mobileworldlive.com (it makes sense to register there)
Brochure with complete information about the congress and event schedule: .PDF (6.8 Mb), without registration

Live coverage on Engadget: engadget.com/tag/liveblog
Thematic publications on Gizmodo
Special section on Mobile-review + the first 4 articles (introduction, Samsung Wave, Bada, HTC Smart)
Broadcast on Content-review
MWC through the eyes of gamers

Twitter:

twitter.com/gsmworld - official Twitter feed + hashtags: #MWC, #MWC10, #MWC2010
twitter.com/mobileworldlive - feed of announcements from mobileworldlive.com
twitter.com/ShowDaily - daily newspaper released at the conference

Our people on site: alex_exler, @bazilisa, derloos, @dryab, eldarmurtazin, goncharow, iBubelo, olyapka, plushev, playd, @symsymsym, taranenko, @technoslav, turubar

Videos:

Live streams on qik.com
Good old YouTube
Stream from Mobile World Live TV on TelecomTV - videos of panel discussions and official events

What ""hot"" things await us?

Opera will hold a closed demonstration of Opera Mini on jailbroken iPhones - a browser 5 times faster than Safari
Demonstration of Windows Mobile 7 Series (which will be compatible with XBOX Live!) + release date announcement + promo site
Samsung will showcase the Wave (S8500) + Bada - yes, Wave, not Google Wave, and Bada, not bayda
MOTOROI and MOTOAURA from you-know-who
Skype will be fully integrated into Nokia N-series + joint project with Veziron
Sony Ericsson will show the world Vivaz pro
Premiere of the Notion Ink Adam tablet
SIMFi = SIM card + Wi-Fi in one bottle
Announcement of a new AppStore from 24 major mobile operators (VimpelCom from Russia is participating)
Adobe promises Flash and AIR for Android + unclear current activity in alliance with Microsoft
Presentation of OneAPI from GSMA - a lightweight universal API for creating web applications that integrate with mobile operator systems (IMS^2 ???)
Vodafone 150 - the first mobile phone for $15 for developing markets (Africa)
Nokia and Intel merging in creative ecstasy with MeeGo
Symbian OS 3

Opera is trolling Apple at the airport level - what heroes!

via plushev.com + further development of the story on intomobile.com

UPD: the topic is being updated, please comment with new relevant links and topics."
HP; HP ProLiant ProLiant G ML DL BL SL HP ProLiant SL scalability high-load systems front-end web server Intel Xeon AMD Opteron Series,"In 1993, HP ProLiant servers appeared on the market for the first time, based on the x86 architecture. The ProLiant family expanded with new product lines as the scope of their use grew. Until recently, you could choose from the ML line - tower servers, which you usually buy individually; DL - rack machines for serious tasks, several of which you buy with a large margin for the future; and BL - by filling the rack with dozens of these blades, you can always add more if the demands increase.

But in recent years, BL and their counterparts have been used even when demands increase by tens and hundreds of times - in web search engines, large databases, and scientific supercomputers. And although various technologies are used in the construction of these servers to reduce power consumption and compactly place internal components, even a small power saving and a reduction in size at the level of a single server would provide significant economic benefits when operating complexes of several thousand computing nodes.

Therefore, HP specifically developed the HP ProLiant SL6000 line, in which a new form factor is used instead of the standard rack case. Our new system uses a two-unit z6000 chassis, in which several servers serve common power sources and fans. Compared to regular one-unit servers, power consumption is reduced by 28%, and the overall weight of the server rack is reduced by 31%. A similar solution is used in the BladeSystem chassis for the BL line, but the z6000 does not have a common backplane, which improves air cooling inside the chassis.

Like other HP ProLiant sixth-generation systems, depending on the equipment configuration, the z6000 can use three models of power supply: 460, 750, and 1200 watts. To simplify the deployment of large configurations, five SL6000 units can be installed in a single 10-unit bulk rail kit.

The z6000 can accommodate three types of one-unit dual-processor ProLiant SL server modules based on the Xeon 5500:

HP ProLiant SL170z is designed for data storage applications. For example, for search engines and databases. It can hold 6 full-size SAS/SATA disks and 16 DDR3 SIM memory modules.
HP ProLiant SL2x170z is designed for supercomputer calculations and serving front-end web applications. It occupies half the width of a 19-inch rack, so four SL2x170z modules are installed in the two-unit z6000 chassis, providing double the density of processor power compared to regular one-unit servers. This model also supports the installation of 16 DDR3 SIM memory modules, but only one 3.5-inch hard drive can be installed in it.
HP ProLiant SL160z, designed for applications that require intensive use of RAM (such as web page caching), is equipped with 18 slots for memory modules and two PCI slots. It can accommodate two 3.5-inch disks.

And soon, HP ProLiant SL165z modules based on the AMD Opteron 2400 Series will also be available for sale.

All four models are equipped with a dual-port Gigabit Ethernet adapter and support DCMI and IPMI management with the ability to turn off individual server modules in the chassis.

We can only sincerely wish that your tasks grow to such an extent that expanding your server fleet will mean purchasing several more HP ProLiant SL6000 cabinets! :)"
cyborg Steve Mann blogging blog cyborglogging Big Brother wearable computer eyetap webcam photolog videolog cyborg problems cyberlaw cyberpunk virtual light William Gibson,"It seems that there is a clear interest in Gibson and cyberpunk on Habr: they write about the adaptation of ""Neuromancer"" or about a comrade from Obscura Digital who waves his hands in the air just like Keanu Reeves in ""Johnny Mnemonic"".

Otherwise, people on Habr might start to worry why designer Mac Funamizu depicted Gibson's ""Virtual Light"" as a transparent frame instead of glasses. And it's completely unnecessary! Glasses with image processing of the surrounding world have long been implemented and are now being improved by enthusiast-cyborg Steve Mann:

Steve has been promoting the ideology of the ""wearable"" computer for several decades, first at MIT, and then at his alma mater, the University of Toronto.

The main areas Steve has been working on:
- Development of EyeTap technology. These are the very glasses that intercept the image entering the eye and, after passing it through a computer, transmit it further into the eye. One of the models ready for mass production:

- Image processing technologies. For example, Steve has a patent for the technology of stitching multiple video frames into a single image:

- CyborGLOGGING, reverse observation. Steve, as a respectable cyborg, develops and implements cyborg ideology. Cyborglogging, or simply glogging, is the continuous posting of videos and photos taken with ""wearable"" cameras. Steve even created a service for gloggers, where he himself keeps his own glog. Reverse observation is when instead of the all-seeing eye of Big Brother, the recording is done by a wearable device of an ordinary citizen, usually ""wearable"":

Such observation is naturally initiated not by government agencies for hidden control over citizens, but vice versa - by activists of the movement, for public use in diaries, all recorded information is maximally open. This is how Mann sees ideal observation: since the information is not secret, there can be no undercover games or corruption; if someone's rights are violated, everyone will see it. And if the recording itself invades someone's private life - no problem, because everything is maximally open, the information can be deleted immediately.

Cyborg problems
Now the most interesting part: Steve Mann is an ardent ideologist and activist of his inventions and concepts. Therefore, for the past three decades, he has been carrying a pile of iron on himself. This collage has been circulated in almost all internet publications, as you can see, up until the mid-90s Steve had a hard time (literally):

Another very interesting fact from Steve's life: on February 18, 2002, Steve was detained by airport security at St. John's Airport, Canada. Until that moment, Steve had been flying around the world without any problems, security services arranged his equipment package (which included a certificate from a personal doctor stating that Steve was conducting an experiment and it was not recommended for him to walk without special equipment). The New York Times writes: during a personal search, the officers scattered the devices all over the floor (then they forgot to return part of the equipment worth almost $57,000 to the inventor), they tore off the electrodes from Steve, which caused bleeding. After the electronics were disabled, Steve lost his sense of orientation (he fell several times, once hitting his head on a hanging fire extinguisher), and he was brought to the landing in a wheelchair.

I found an interesting discussion about the incident on Slashdot. Several former and current students of Steve's responded. They claim that the journalists greatly exaggerated everything, the students personally saw how Steve sometimes takes off his glasses and moves normally, that the inventor's equipment does not contain any biometric sensors, let alone implants. One of the MIT students of Steve speculated that if you stare at a two-dimensional image of the world (through the screens of the glasses) for a long time, disorientation will inevitably occur. Someone suggested that Steve was simply very upset about what happened. In any case, everyone agreed that this was a very indicative case from the series ""what will happen if you deprive a person of gadgets that help him live.""

Several photos
Here are some illustrations that allow you to immerse yourself in the atmosphere of what Steve does. Here is a group photo of MIT cyborg students participating in Steve's early project of scanning the surroundings of the institute:

Concept fantasy ""PleaseWait: I don't talk to strangers."" ""Insert your passport into the reader on my head and only then will I see and hear you. If you want to show me an advertisement, pay for my attention. Press ""3"" and insert your credit card"":

Wearable camera in a backpack:

Wearable camera on the chest in a bra:

One of the applications of Eyetap technology, the ""Adissolve"" project (literally ""dissolving advertising""), in the illustration, the system recognizes advertising in a magazine and replaces it with a photo loaded from an art gallery:

The inventor's daughter, Christina Mann, captured through Eyetap glasses a few minutes after birth:

New hobby
Now Steve is fascinated with hydroinstruments, but he still doesn't part with his glasses:

Links
I recommend continuing to explore the topic through the following links:

- Eyetap Lab website
- Steve Mann's website
- ""info gargoyle"" blog dedicated to cyborgs and wearable computers
- Publication ""Continuous Lifelong Capture of Personal Experience with EyeTap""
- Publication ""Equiveillance: The equilibrium between Sur-veillance and Sous-veillance"""
rock lastfm google friends,"Hello and don't get sick, dear Habravchans! =)) The weather in Moscow is disgusting right now: cold, 13 degrees Celsius on the thermometer, feels like around 7-8, no sun, north wind, except no rain. And in this weather, Uncle Sokki decided and finally implemented his cunning plan. :) In reality, there was no space left on the sheet)) You will understand on which sheet later.

About a month ago, I was looking for a radio station that would play only the music that resonates the most in my soul and heart. And I stumbled upon the Rock radio, where high-quality music playback costs a little money (Backstage Pass for only $4.99/month), and low-quality is free, that is, for nothing. Without thinking much, I put the audio stream into my favorite Rhythmbox in the radio stations section, and since then I don't remember turning off the speakers and not hearing the sounds of songs by Metallica, AC/DC, ZZ Top, Iron Maiden, Alice Cooper, Queen, Aerosmith, Kiss, and others.

But the article is not about how cool all this is (and it really is cool!), but about my first rock compilation. When I heard a composition that pierced me from head to toe, I turned to a piece of paper and wrote down the band and the song.

Fig.1. The best of the best =))

Then it was a small matter: to find all this variety. Everything was found, except for the Jingle ""Money"". Then I turned to Twitter users and my friends. I express my huge thanks to the following people who spent their time helping me in the search:

vfaronov,
Vasyok Kuzminov,
Sanyok Timokhin,
Damirock,
Sanyok Artamonov,
andrejs.

Fig.2. Brainstorming

Where our glorious seven didn't look: we googled on Yandex =)), on last.fm, in torrents, on mp3 sites with free distribution, on the Rock radio website... I was even ready, and I am still ready, to pay a small fee of $1 (!!!) for this song)) But then we agreed that the band is unpopular not only in Russia, not only in Europe, but also in America itself. So it's a lost cause.

Well, here is the Rock #1 album:

Fig.3. Bloody guitar (just in theme) =))

01 ACDC - The razors edge
02 Alice Cooper - Billion dollar babies
03 Def Leppard - Cmon Cmon
04 Elvis Presley - Jailhouse rock
05 Iron Maiden - Fear Of The Dark
06 Queen - Bohemian rhapsody
07 Queen - Death on two legs dedicated to...
08 Scorpions - Still loving you
09 Survivor - Eye of a tiger rocky balboa
10 The Offspring - I wanna be sedated
11 Velvet revolver - Dirty little thing
12 ZZ Top - La grange

My blog'<END>"
"telephone, old iron, cellular communication, cellular operators, cellular phone, analog, history, Nokia, Russia, wild nineties, post-apocalypse, museum, IT museum, computer history museum","Indestructible ""nuclear briefcase"".
Legend of the ""wild nineties"".
Practically the same ""briefcase with a horn"", more authentic than only trunking communication devices and ""RusAltai"" blocks.
Previously belonged to some cool guy's car, thanks to his careful handling, the device is in very good condition. It is difficult to find better props for movies about nuclear missiles, spies, and satellite communication with the president.

Below are several photos and a story about this phone.

Analog mobile phone, more precisely a ""portable subscriber radio station of the NMT-450 standard"". It was used in the network of the operator MCC (""Moscow Cellular Communication""), which was widely known in the advertising of the ""Federal network SOTEL"".
There are no SIM cards, the number is hard-programmed in the network. SMS is not supported. At all. Voice mail worked ""great"" through the operator's means. The ""phone book"" is a memory for several speed dial numbers without search and familiar navigation.

Excellent reception quality was provided by a 7W transmitter (compare it with the power of GSM devices, which rarely reaches one watt). Confident operation at the maximum distance from the base station and unparalleled autonomous operation time from onboard batteries - a 1700mAh NiMH battery with a weight of over 500 grams squeezed out up to 7 days. This device is designed to provide communication in any circumstances, and it always succeeded.

The charger is connected directly to the battery, but it can also be connected to the phone - it has a power input for connection to the onboard network of a car or another power source.

The adapter of the wired telephone line allowed this device to emulate PBX and make calls through it using a modem, fax, or regular wired telephone. A distant wooded area, a stump, an ordinary telephone set with a handset connected to the line jack on the hidden Nokia 720. Lift the handset. After a second, a familiar dial tone is heard. You can dial the number.

They say that there are no longer any active networks of this standard - the analog NMT-450 protocol quietly died even in the regions of Russia. There is no longer that range, that autonomy, that power. You can no longer find that mystery, riddle, prestige that this device gave to its owner. The quality was a legend. Genuine Made in Finland.

The past has irretrievably gone, but this device will live on. It has seen even more. It is one of those devices that marked the beginning of cellular communication as a phenomenon. One of the best devices. It is not its fault that the standard is no longer supported, and all successors have not inherited its best qualities. They will still remain valuable.

UPD.
Can anyone tell if there are any NMT-450 networks still operating in any region?
This question was asked on the netmonitor, apparently the guys went somewhere supposedly to catch it, but I never saw a report about that trip.

UPD2.
Equipped weight with battery - 1500 grams. The bottom of the device is a ribbed metal radiator.

Year of manufacture - 1996."
"ie microsoft browser web development web design firefox internet explorer opera safari javascript java script html-layout css css compatibility ajax facebook mobile me apple

Internet Explorer, Microsoft, browser, web development, web design, Firefox, Internet Explorer, Opera, Safari, JavaScript, Java script, HTML-layout, CSS, CSS compatibility, Ajax, Facebook, mobile, me, Apple.","IE6 (Microsoft Internet Explorer 6) was released in 2001. If you look at the date of this post, it is now 2008. Various statistical data show that about 20% of internet users still use IE6 today. It is also worth noting that the share of IE6 has been rapidly decreasing since the beginning of 2008.

IE6 does not support standards, does not provide adequate security, and contains a huge number of errors. To ensure compatibility with IE6, separate and labor-intensive work is required to track the errors of IE6 itself. Moreover, since 2001, the Internet has not stood still and has rapidly developed towards the so-called Web 2.0, and the use of all the latest technologies is not possible in IE6. For example, the use of complex JavaScript scripts.

Many internet services have officially discontinued support for IE6, including Facebook and Apple's MobileMe.

Thus, today we have a problem: on the one hand, 20% of internet users use IE6, and on the other hand, not all websites can be made compatible with IE6 due to the outdated nature of the browser.

Why do users not update this outdated browser? If you read the forums, you can note one trend. IE6 is a corporate standard for some companies, and corporate software has been created specifically for it, which is only compatible with IE6. This is the reason why corporate computers are not updated to the new version of IE, and the installation of third-party browsers, such as Firefox, Opera, or Safari, is prohibited by security policy.

(If we are not only talking about corporate computers, it is worth noting that Windows Update is enabled by default in Windows XP, and the IE6 browser is automatically updated to IE 7 without any problems.)

Thus, we have found that IE6 is currently a unique browser that requires writing special code to make a website compatible with it.

I believe that for this reason, developing a website compatible with IE6 can be a separate item in the technical specification for website development. If there is a task to create a modern website compatible with IE6, it is a task to develop two websites. The first one is compatible with all the latest browsers, and the second one may have slightly reduced capabilities, but is compatible with the outdated IE6.

One possible solution to the problem of using IE6 may be to detect the browser version and display a warning message stating that ""the site may not work and look as expected because you are using an outdated browser,"" and offer to update the favorite browser to the latest version. This is how the aforementioned internet services handled it in the article.

UPD: Microsoft has created a website with statistics on the use of IE6."
social networks Odnoklassniki.ru Odnoklassniki.km.ru How great that we all gathered here today domain names many letters Guinness World Records longest tags on Habr The length of one tag cannot exceed characters,"The social network of the company ""KM Online"" has found its next incarnation. The same network that has been doing well for a long time under the name Classmates.km.ru (copying the name of the parent site Classmates.com), and then briefly and ingloriously lived under the nickname Odnoklassniki.km.ru (losing a legal dispute over intellectual property to Odnoklassniki.ru), has now received a name that can be recognized as the longest domain name in the Russian Internet - KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru. ""KM Online"" wants to include this achievement in the ""Guinness Book of Records"".

The creativity of the creators of KZCHVMZSS.ru puts one at a loss with its scale and truly makes one think. Just think of these words from the press release: ""The name of the network is a line from a song by Oleg Mitiaev. Initially, it was planned to quote the entire verse of the song in the address bar. But in order not to tire the user too much, the site creators stopped at the most popular words."" Damn, people with such energy could really bypass the technical limitation on the length of a domain name of 63 ASCII characters!

It should be noted that there are already about 3.2 million users in the network who have experienced (or are experiencing) its heyday of active promotion in the Russian Internet. Which is quite a lot, considering that they themselves are unlikely to confidently remember the name of their haven now.

And finally. ""Unlike competitors, the social network KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru will only provide free services. Convenient search for friends by interests, place of study, work, individual informers, convenient blog service, 'invisible' status, and much more. Most of these services are absent in competitive social networks."" The competitors mentioned directly in the same text are ""Vkontakte"" and ""Odnoklassniki.ru"". All that's left is to throw up your hands."
iPhone iPhone G The Korea Times KT LentaRu mobile WiMAX WiMAX Yota Scartel G video chat OLED OLED display Cortex Cortex-A ARM processors RFID,"The publication ""The Korea Times"" yesterday reported that the Korean mobile operator called KT plans to start selling a new generation of iPhones in April, which this time will be equipped with dual-core processors and powerful graphics coprocessors (for video and photo processing), and screens with organic light-emitting diodes (OLED), and support live video chats.

The website ""AppleInsider"" publishes another leak from internal sources of the company Apple: the new devices will be equipped with ARM processors of the Cortex-A9 design, capable of exceeding the two-gigahertz frequency limit. It is also expected to introduce RFID technology, which provides contactless authentication.

These news are retold on the website Lenta.Ru. And in the LJ-community yota_ru they are currently discussing whether mobile WiMAX (in particular, Yota) will be among the 4G technologies supported by the new iPhone. There is also a picture that attracts attention.

Most of all, the list of new features mentioned on it is interesting, which is given on the right. In particular, the version of the operating system indicated in the illustration raises considerable doubts about the correspondence of this concept to objective reality.

Judging by its address, this picture is from the December part of that Brazilian blog, however, not knowing Brazilian, I cannot find the corresponding blog post there.

The nearest date for checking Korean and Brazilian news is January 27; it is then (if you believe ""AppleInsider"") that Apple plans to present the new iPhone 4.0 SDK to the public. Some developers apparently received advice from Apple in December of last year to prepare their applications for launch on a screen that will exceed the size of 320×480."
